Date,Hostel Name,City,Country,Avg Bed Price (£),Occupancy
2022-01-01,Brussels Grand Place,Brussels,Belgium,26.4,129
2022-01-01,Prague Charles Bridge,Prague,Czech Republic,36.22,128
2022-01-01,Berlin Kurfürstendamm,Berlin,Germany,31.99,164
2022-01-01,Athens Monastiraki,Athens,Greece,35.47,125
2022-01-01,Pisa Centrale,Pisa,Italy,35.42,117
2022-01-01,Warsaw Old Town,Warsaw,Poland,30.17,112
2022-01-01,Lisbon Bairro Alto,Lisbon,Portugal,37.04,119
2022-01-01,Bratislava Presidential Palace,Bratislava,Slovakia,31.46,134
2022-01-01,Barcelona Gothic,Barcelona,Spain,28.68,142
2022-01-01,Barcelona Passeig de Gracia,Barcelona,Spain,24.54,123
2022-01-01,"Calpe Seafront, Costa Blanca",Calpe,Spain,30.69,164
2022-01-01,Córdoba Mezquita Catedral,Cordoba,Spain,37.37,157
2022-01-01,Madrid Central,Madrid,Spain,29.51,151
2022-01-01,Glasgow Charing Cross,Glasgow,United Kingdom,30.13,111
2022-01-01,Edinburgh Cowgate,Edinburgh,United Kingdom,27.91,136
2022-01-01,London Elephant & Castle,London,United Kingdom,40.05,126
2022-01-01,London Kensington Holland Park,London,United Kingdom,24.56,125
2022-01-01,York Micklegate,York,United Kingdom,36.62,164
2022-01-02,Brussels Grand Place,Brussels,Belgium,32.69,129
2022-01-02,Prague Charles Bridge,Prague,Czech Republic,20.15,164
2022-01-02,Berlin Kurfürstendamm,Berlin,Germany,28.54,144
2022-01-02,Athens Monastiraki,Athens,Greece,33.3,120
2022-01-02,Pisa Centrale,Pisa,Italy,28.15,160
2022-01-02,Warsaw Old Town,Warsaw,Poland,37.1,159
2022-01-02,Lisbon Bairro Alto,Lisbon,Portugal,32.88,141
2022-01-02,Bratislava Presidential Palace,Bratislava,Slovakia,39.63,164
2022-01-02,Barcelona Gothic,Barcelona,Spain,34.21,149
2022-01-02,Barcelona Passeig de Gracia,Barcelona,Spain,31.16,147
2022-01-02,"Calpe Seafront, Costa Blanca",Calpe,Spain,30.55,112
2022-01-02,Córdoba Mezquita Catedral,Cordoba,Spain,26.77,110
2022-01-02,Madrid Central,Madrid,Spain,36.38,164
2022-01-02,Glasgow Charing Cross,Glasgow,United Kingdom,26.85,85
2022-01-02,Edinburgh Cowgate,Edinburgh,United Kingdom,30.45,141
2022-01-02,London Elephant & Castle,London,United Kingdom,26.63,104
2022-01-02,London Kensington Holland Park,London,United Kingdom,32.56,144
2022-01-02,York Micklegate,York,United Kingdom,24.17,164
2022-01-03,Brussels Grand Place,Brussels,Belgium,33.82,117
2022-01-03,Prague Charles Bridge,Prague,Czech Republic,24.13,87
2022-01-03,Berlin Kurfürstendamm,Berlin,Germany,24.22,128
2022-01-03,Athens Monastiraki,Athens,Greece,26.37,131
2022-01-03,Pisa Centrale,Pisa,Italy,23.54,132
2022-01-03,Warsaw Old Town,Warsaw,Poland,20.2,91
2022-01-03,Lisbon Bairro Alto,Lisbon,Portugal,26.76,97
2022-01-03,Bratislava Presidential Palace,Bratislava,Slovakia,24.16,100
2022-01-03,Barcelona Gothic,Barcelona,Spain,27.55,101
2022-01-03,Barcelona Passeig de Gracia,Barcelona,Spain,32.62,91
2022-01-03,"Calpe Seafront, Costa Blanca",Calpe,Spain,36.52,118
2022-01-03,Córdoba Mezquita Catedral,Cordoba,Spain,32.69,134
2022-01-03,Madrid Central,Madrid,Spain,27.73,94
2022-01-03,Glasgow Charing Cross,Glasgow,United Kingdom,21.3,110
2022-01-03,Edinburgh Cowgate,Edinburgh,United Kingdom,39.12,113
2022-01-03,London Elephant & Castle,London,United Kingdom,28.44,119
2022-01-03,London Kensington Holland Park,London,United Kingdom,32.23,96
2022-01-03,York Micklegate,York,United Kingdom,30.09,141
2022-01-04,Brussels Grand Place,Brussels,Belgium,25.91,100
2022-01-04,Prague Charles Bridge,Prague,Czech Republic,30.6,120
2022-01-04,Berlin Kurfürstendamm,Berlin,Germany,29.45,127
2022-01-04,Athens Monastiraki,Athens,Greece,25.75,106
2022-01-04,Pisa Centrale,Pisa,Italy,23.9,100
2022-01-04,Warsaw Old Town,Warsaw,Poland,27.73,118
2022-01-04,Lisbon Bairro Alto,Lisbon,Portugal,22.45,101
2022-01-04,Bratislava Presidential Palace,Bratislava,Slovakia,24.35,124
2022-01-04,Barcelona Gothic,Barcelona,Spain,29.82,101
2022-01-04,Barcelona Passeig de Gracia,Barcelona,Spain,31.61,118
2022-01-04,"Calpe Seafront, Costa Blanca",Calpe,Spain,23.78,95
2022-01-04,Córdoba Mezquita Catedral,Cordoba,Spain,35.04,101
2022-01-04,Madrid Central,Madrid,Spain,25.58,85
2022-01-04,Glasgow Charing Cross,Glasgow,United Kingdom,25.24,90
2022-01-04,Edinburgh Cowgate,Edinburgh,United Kingdom,20.64,91
2022-01-04,London Elephant & Castle,London,United Kingdom,25.4,91
2022-01-04,London Kensington Holland Park,London,United Kingdom,32.85,126
2022-01-04,York Micklegate,York,United Kingdom,30.79,164
2022-01-05,Brussels Grand Place,Brussels,Belgium,23.01,109
2022-01-05,Prague Charles Bridge,Prague,Czech Republic,27.85,100
2022-01-05,Berlin Kurfürstendamm,Berlin,Germany,27.0,101
2022-01-05,Athens Monastiraki,Athens,Greece,23.11,100
2022-01-05,Pisa Centrale,Pisa,Italy,25.47,117
2022-01-05,Warsaw Old Town,Warsaw,Poland,24.65,109
2022-01-05,Lisbon Bairro Alto,Lisbon,Portugal,28.68,141
2022-01-05,Bratislava Presidential Palace,Bratislava,Slovakia,33.49,122
2022-01-05,Barcelona Gothic,Barcelona,Spain,26.06,133
2022-01-05,Barcelona Passeig de Gracia,Barcelona,Spain,28.21,130
2022-01-05,"Calpe Seafront, Costa Blanca",Calpe,Spain,25.28,127
2022-01-05,Córdoba Mezquita Catedral,Cordoba,Spain,29.61,98
2022-01-05,Madrid Central,Madrid,Spain,27.91,101
2022-01-05,Glasgow Charing Cross,Glasgow,United Kingdom,32.83,123
2022-01-05,Edinburgh Cowgate,Edinburgh,United Kingdom,27.95,89
2022-01-05,London Elephant & Castle,London,United Kingdom,21.84,131
2022-01-05,London Kensington Holland Park,London,United Kingdom,22.98,110
2022-01-05,York Micklegate,York,United Kingdom,33.01,124
2022-01-06,Brussels Grand Place,Brussels,Belgium,29.43,110
2022-01-06,Prague Charles Bridge,Prague,Czech Republic,21.86,115
2022-01-06,Berlin Kurfürstendamm,Berlin,Germany,32.33,99
2022-01-06,Athens Monastiraki,Athens,Greece,32.22,106
2022-01-06,Pisa Centrale,Pisa,Italy,32.35,102
2022-01-06,Warsaw Old Town,Warsaw,Poland,29.15,120
2022-01-06,Lisbon Bairro Alto,Lisbon,Portugal,29.04,125
2022-01-06,Bratislava Presidential Palace,Bratislava,Slovakia,33.22,132
2022-01-06,Barcelona Gothic,Barcelona,Spain,28.27,116
2022-01-06,Barcelona Passeig de Gracia,Barcelona,Spain,25.78,111
2022-01-06,"Calpe Seafront, Costa Blanca",Calpe,Spain,27.82,116
2022-01-06,Córdoba Mezquita Catedral,Cordoba,Spain,27.07,125
2022-01-06,Madrid Central,Madrid,Spain,30.14,104
